person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length
58,75991,OTHER,5,HOMEIMPROVEMENT,C,17715,19.21249220751752,0,N,2
48,134296,RENT,25,HOMEIMPROVEMENT,A,28544,13.56744749992172,0,Y,13
34,127339,MORTGAGE,37,EDUCATION,B,7987,11.241894314667121,0,Y,27
62,29716,OTHER,10,DEBTCONSOLIDATION,D,34189,9.872994970065939,1,N,25
27,127099,OTHER,28,DEBTCONSOLIDATION,B,9954,13.77142703017717,0,Y,21
40,53349,MORTGAGE,19,HOMEIMPROVEMENT,D,22674,15.848260748155354,0,N,3
58,67098,OWN,9,HOMEIMPROVEMENT,G,34016,11.101827008048662,1,N,2
38,128435,RENT,25,MEDICAL,C,12738,8.463482968578763,0,N,16
42,20132,MORTGAGE,26,DEBTCONSOLIDATION,A,1482,13.775063992841575,0,N,14
30,71990,OTHER,13,PERSONAL,B,32508,10.483439604169519,0,N,23
30,133288,MORTGAGE,35,EDUCATION,A,12424,19.91486650175504,0,N,14
43,88921,OTHER,11,EDUCATION,C,21798,11.615669388707506,0,N,14
55,56538,MORTGAGE,22,MEDICAL,D,29667,11.517332312226394,0,N,18
59,120572,OWN,20,MEDICAL,C,29403,17.592004827435094,0,N,7
43,119279,OTHER,7,PERSONAL,D,10559,8.76528475144099,0,N,13
22,125909,MORTGAGE,38,VENTURE,D,9314,5.989805830245151,0,N,16
41,27213,OWN,8,EDUCATION,E,18133,17.807282213990057,1,N,25
21,144693,OWN,23,DEBTCONSOLIDATION,A,33221,13.83560531272108,0,N,4
43,64223,RENT,30,HOMEIMPROVEMENT,E,33156,8.902351566200672,0,N,23
63,111655,OTHER,24,PERSONAL,C,26161,10.141378348646096,0,N,7
49,88371,RENT,16,EDUCATION,A,9735,11.384755767523313,0,N,22
57,88274,OWN,28,DEBTCONSOLIDATION,G,6576,15.205865362614546,1,N,4
21,127853,RENT,2,PERSONAL,F,9206,12.022731140812901,0,Y,13
40,24134,RENT,20,VENTURE,C,27042,10.937293367104463,1,N,12
52,111428,MORTGAGE,7,DEBTCONSOLIDATION,D,25337,16.70699753382639,0,N,28
31,59601,RENT,13,EDUCATION,A,10574,6.07772797250483,0,Y,7
41,93889,OWN,38,HOMEIMPROVEMENT,B,20992,14.78805336025848,0,N,12
63,35690,RENT,15,DEBTCONSOLIDATION,A,5043,11.733849973591608,0,N,18
44,21909,OTHER,17,EDUCATION,B,30264,10.022802615297172,1,N,5
68,111239,MORTGAGE,30,PERSONAL,B,20876,18.913635345332004,0,Y,12
46,100032,OWN,10,VENTURE,A,31929,16.66894010594777,0,N,14
61,32062,RENT,37,DEBTCONSOLIDATION,C,28574,8.288881227705943,1,N,25
47,95386,OTHER,19,PERSONAL,A,12784,14.78504655075033,0,N,17
35,113237,OWN,3,PERSONAL,A,10196,17.334297372150747,0,N,7
34,54731,RENT,19,MEDICAL,B,7754,19.840093482788788,1,N,21
66,25153,MORTGAGE,30,PERSONAL,B,28704,15.476374912230254,1,N,7
63,30481,RENT,19,DEBTCONSOLIDATION,B,30396,15.360364225661117,1,N,18
22,119270,OWN,10,VENTURE,A,18198,14.19937991908399,0,N,4
56,86425,OWN,0,HOMEIMPROVEMENT,B,9723,5.60003917017405,0,N,8
26,83600,OWN,17,MEDICAL,A,34526,13.775846987569489,0,N,2
40,104981,OTHER,38,PERSONAL,B,18918,17.075714838178595,0,N,13
28,91997,RENT,32,DEBTCONSOLIDATION,E,30027,10.931276662361514,0,N,19
58,124470,RENT,35,EDUCATION,A,3266,13.804688736741467,0,N,14
37,48205,RENT,17,MEDICAL,C,3414,18.897323218459015,0,N,28
23,108887,MORTGAGE,30,VENTURE,A,21843,7.580511585577987,0,N,4
44,101542,OTHER,34,EDUCATION,B,3552,9.207136498584568,0,N,21
33,64149,OTHER,38,VENTURE,B,23704,6.654762841506896,0,N,29
69,69112,MORTGAGE,37,EDUCATION,F,20244,12.503669062754705,0,N,7
28,30940,OTHER,14,HOMEIMPROVEMENT,B,32537,17.59474088022748,1,N,15
45,79010,MORTGAGE,5,VENTURE,C,34845,11.528255137621898,0,N,15
21,96794,OWN,7,EDUCATION,C,22823,6.047597865469561,0,N,10
39,44485,OWN,39,VENTURE,A,3526,8.953065727750817,0,N,14
47,109299,OTHER,21,MEDICAL,F,33501,18.34559764397453,0,N,2
66,144321,OWN,0,VENTURE,B,34489,13.362861655396003,0,N,5
26,125584,OWN,12,DEBTCONSOLIDATION,A,6801,18.711068453693656,0,N,14
63,21067,OWN,23,VENTURE,B,23437,17.516570949446436,1,N,21
27,40607,RENT,20,EDUCATION,B,32957,11.214374196273193,1,N,7
66,129419,OWN,3,VENTURE,A,2345,14.503159998615603,0,N,2
54,81597,RENT,6,HOMEIMPROVEMENT,C,1745,14.966377007500284,0,N,15
33,146736,MORTGAGE,11,PERSONAL,B,14326,16.201961543680113,0,N,26
36,94554,MORTGAGE,12,MEDICAL,C,9124,9.994497596886525,0,N,2
55,68521,MORTGAGE,15,DEBTCONSOLIDATION,A,6599,9.334841684143157,0,Y,11
69,132482,MORTGAGE,5,EDUCATION,G,34645,15.26883156479931,1,N,18
59,35187,MORTGAGE,13,VENTURE,A,25709,17.281313473119837,1,N,20
23,122911,OWN,30,VENTURE,C,11616,11.213701797889371,0,Y,18
21,23985,OWN,35,VENTURE,C,8764,9.816028166486948,0,N,21
25,63052,OWN,36,MEDICAL,A,11891,17.383049642380893,0,N,8
61,39563,MORTGAGE,34,DEBTCONSOLIDATION,A,10654,15.304258091232237,0,N,10
23,67322,MORTGAGE,9,PERSONAL,A,30817,10.153250291283896,0,N,13
48,122842,RENT,16,HOMEIMPROVEMENT,A,16538,12.944990390892858,0,N,21
37,81245,OTHER,29,DEBTCONSOLIDATION,A,26807,19.4129373934435,1,N,23
45,71514,OWN,6,HOMEIMPROVEMENT,C,15289,16.24807007358109,0,N,14
63,38608,OTHER,17,DEBTCONSOLIDATION,B,5261,8.324972127964216,0,N,3
53,124675,MORTGAGE,18,EDUCATION,B,24592,9.425467194368512,0,N,24
29,87262,MORTGAGE,14,PERSONAL,A,29281,8.978309844856245,0,N,13
55,112118,MORTGAGE,38,PERSONAL,E,5082,17.725234479805387,0,N,29
33,91327,OTHER,21,MEDICAL,A,18963,14.621288440858699,0,N,25
50,77225,RENT,38,DEBTCONSOLIDATION,B,30770,19.09996083483353,1,Y,20
67,93994,MORTGAGE,29,VENTURE,A,22983,6.364012565284506,0,N,18
34,141701,RENT,19,PERSONAL,A,4419,5.780056939881417,0,N,3
27,37221,RENT,31,DEBTCONSOLIDATION,C,31991,15.143027384434246,1,N,3
33,68506,OWN,24,VENTURE,C,19401,8.999358719282139,0,N,7
42,40968,OTHER,22,MEDICAL,C,21401,15.187574490608844,1,N,8
59,147677,MORTGAGE,4,DEBTCONSOLIDATION,C,4037,15.852052599688312,0,N,6
40,102606,RENT,29,DEBTCONSOLIDATION,F,15501,9.567217149669986,0,N,13
35,47937,OTHER,38,EDUCATION,B,18145,19.29002162627549,1,N,29
64,82435,OTHER,26,DEBTCONSOLIDATION,B,13838,16.62111329841744,0,N,12
37,69508,MORTGAGE,36,EDUCATION,A,17982,10.510326551843406,0,N,11
66,146695,OWN,6,VENTURE,A,4743,11.18177991878429,0,N,18
43,61831,OWN,4,VENTURE,B,32966,15.738071752614214,1,N,22
